Benedita Lemos
Dorindo Barros
Clara Grangeia
Vasco Martinho
Custodio Paranhos
Giovana Carreira
Zuleica Gouveia
Reinaldo Lopes
Viridiano Cabral
Ramiro Bras
Eudes Infante
Marcio Mirandela
Ligia Pastana
Fabiola Vilanova
Levi Peralta
Berengario Teves
Virginia Lages
Luamar Cesario
Godinho Freiria
Ítalo Ulhoa
Palo Coutinho
Celso Arouca
Humberto Mantas
Teresina Sanches
Yara Matoso
Gerson Pessoa
Collin Bicalho
Sandro Festas
Liana Velasques
Cristofe Amarante
Teresina Belem
Quiterio Casado
Veronica Pederneiras
Hermigio Conceicao
Agostinho Santarem
Alzira Bencatel
Bernardino Covilha
Paulino Mangueira
Zulmira Linhares
Filinto Saraiva
Sancho Remigio
Solange Canejo
Margarida Eanes
Celina Alancastre
Flavio Pereira
Reginaldo Simao
Selma Rebimbas
Murilo Ornelas
Adriano Vargas
Tania Mieiro
Natacha Ramires
Godofredo Baia
Donata Macena
Hugo Teixeira
Antonia Amaro
Ruben Mesquita
Arminda Paredes
Adao Abreu
Belmifer Urias
Vicente Homem
Abraao Camarinho
Marco Macieira
Alipio Vila-Cha
Raul Varao
Victoria Lins
Hermano Paixao
Quiterio Lacerda
Antao Aleixo
Firmino Naves
Adosindo Farinha
Lazaro Vargas
Ilduara Lamego
Ulisses Candal
Felicia Oliveira
Valeria Meira
Elba Bentes
Remo Beiriz
Joana Gentil
Rodolfo Caldeira
Zidane Rosario
Janete Loio
Godinho Salgueiro
Noemia Novais
Soeiro Felix
Miguelina Quental
Iolanda Granja
Gastao Pinhal
Rebeca Serpa
Catarino Guerreiro
Tadeu Mata
Selma Tabosa
Evangelista Vergueiro
Neusa Barbalho
Alceste Marques
Zozimo Povoas
Samuel Lustosa
Anna Simao
Zoe Frois
Sheila Carneiro
Parcidio Prates
